'New Testament';'Old Testament';'Allusion';'Possible Allusion'
'2Co 5:17';'Isa 43:18-19';'';''
'2Co 6:2';'Isa 49:8';'';''
'2Co 6:16';'Lev 26:11-12';'';''
'2Co 6:17-18';'Isa 52:11-12';'';''
'2Co 6:17-18';'Jer 31:9';'';''
'2Co 6:17-18';'2Sa 7:14';'';''
'2Co 8:15';'Exo 16:18';'';''
'2Co 9:7';'Pro 22:8';'*';''
'2Co 9:9';'Psa 112:9';'';''
'2Co 10:17';'Jer 9:24';'';''
'2Co 13:1';'Deu 19:15';'';''
'Gal 2:6';'Deu 10:17';'';''
'Gal 2:16';'Psa 143:2';'*';''
'Gal 3:6';'Gen 15:6';'*';''
'Gal 3:8';'Gen 12:3';'';''
'Gal 3:8';'Gen 22:18';'*';''
'Gal 3:10';'Deu 27:26';'';''
'Gal 3:11';'Hab 2:4';'';''
'Gal 3:12';'Lev 18:5';'';''
'Gal 3:13';'Deu 21:23';'';''
'Gal 3:16';'Gen 22:18';'';''
'Gal 3:17';'Exo 12:40';'*';''
'Gal 4:22';'Gen 21:2,9';'*';''
'Gal 4:22';'Gen 16:15';'*';''
'Gal 4:27';'Isa 54:1';'';''
'Gal 4:30';'Gen 21:10';'';''
'Gal 5:14';'Lev 19:18';'';''
'Eph 2:17';'Isa 57:19';'*';''
'Eph 4:8';'Psa 68:18';'';''
'Eph 4:25';'Zec 8:16';'';''
'Eph 4:26';'Psa 4:4';'';''
'Eph 5:31';'Gen 2:24';'';''
'Eph 6:2-3';'Exo 20:12';'';''
'Eph 6:2-3';'Deu 5:16';'';''
'Eph 6:9';'Deu 10:17';'*';''
'Eph 6:9';'Job 34:19';'*';''
'Eph 6:17';'Isa 59:17';'*';''
'Phl 2:10';'Isa 45:23';'*';''
'Phl 4:5';'Psa 119:1-176;141:1-10';'*';''
'Phl 4:5';'Psa 145:18';'*';''
'Col 2:11';'Deu 10:16';'*';''
'Col 3:25';'Deu 10:17';'*';''
'Col 3:25';'Job 34:19';'*';''
'1Th 5:8';'Isa 59:17';'*';''
'1Th 5:15';'Pro 17:13';'*';''
'2Th 2:4';'Dan 11:36';'*';''
'2Th 2:8';'Isa 11:4';'';'†'
'1Ti 2:13';'Gen 1:17';'';'†'
'1Ti 2:13';'Gen 2:7,21-22';'*';''
'1Ti 2:14';'Gen 3:6';'*';''
'1Ti 2:14';'Gen 3:12';'*';''
'1Ti 5:18';'Deu 25:4';'';''
'1Ti 6:7';'Job 1:21';'*';''
'1Ti 6:7';'Ecc 5:14';'*';''
'1Ti 6:7';'Psa 49:18';'';'†'
'2Ti 2:19';'Num 16:5';'*';''
'2Ti 3:8';'Exo 7:11,22';'*';''
'Heb 1:5';'Psa 2:7';'';''
'Heb 1:5';'2Sa 7:14';'';''
'Heb 1:6';'Psa 97:7';'';''
'Heb 1:7';'Psa 104:4';'';''
'Heb 1:8-9';'Psa 45:6-7';'';''
'Heb 1:10-12';'Psa 102:25-27';'';''
'Heb 1:13';'Psa 110:1';'';''
'Heb 2:6-8';'Psa 8:4-6';'';''
'Heb 2:12';'Psa 22:22';'';''
'Heb 2:13';'Isa 8:18';'';''
'Heb 2:13';'Psa 18:2';'';''
'Heb 2:13';'2Sa 22:2';'';''
'Heb 3:2';'Num 12:7';'*';''
'Heb 3:7-11';'Psa 95:7-11';'';''
'Heb 3:15';'Psa 95:7-11';'';''
'Heb 3:17';'Num 14:35-36';'';'†'
'Heb 4:3';'Psa 95:11';'';''
'Heb 4:4';'Gen 2:2-3';'';''
'Heb 4:7';'Psa 95:7-8';'';''
'Heb 5:4';'1Ch 23:13';'';'†'
'Heb 5:5';'Psa 2:7';'';''
'Heb 5:6';'Psa 110:4';'';''
'Heb 6:14';'Gen 22:16-17';'';''
'Heb 7:1';'Gen 14:18';'*';''
'Heb 7:17,21';'Psa 110:4';'';''
'Heb 8:5';'Exo 25:40';'';''
'Heb 8:8-12';'Jer 31:31-34';'';''
'Heb 9:2';'Exo 25:1-40';'*';''
'Heb 9:2';'Exo 26:36';'*';''
'Heb 9:2';'Exo 40:3';'';'†'
'Heb 9:2';'Num 17:10';'*';''
'Heb 9:7';'Exo 30:10';'*';''
'Heb 9:13';'Lev 16:14';'*';''
'Heb 9:14';'Num 14:36';'';'†'
'Heb 9:20';'Exo 24:8';'';''
'Heb 10:5-7';'Psa 40:6-8';'';''
'Heb 10:11';'Exo 29:38';'*';''
'Heb 10:12-13';'Psa 110:1';'*';''
'Heb 10:16-17';'Jer 31:33-34';'';''
'Heb 10:27';'Isa 64:1';'';'†'
'Heb 10:28';'Deu 17:6';'*';''
'Heb 10:30';'Deu 32:35-36';'';''
'Heb 10:37-38';'Hab 2:3-4';'';''
'Heb 11:3';'Gen 1:1';'*';''
'Heb 11:4';'Gen 4:4';'*';''
'Heb 11:5';'Gen 5:24';'*';''
'Heb 11:7';'Gen 6:8,14';'*';''
'Heb 11:8';'Gen 12:1-2';'*';''
'Heb 11:9';'Gen 12:5';'*';''
'Heb 11:9';'Gen 27:11-12,14';'*';''
'Heb 11:11';'Gen 18:1-33';'*';''
'Heb 11:12';'Gen 22:17';'*';''
'Heb 11:13';'Gen 47:9';'';'†'
'Heb 11:13';'Psa 39:13';'';'†'
'Heb 11:13';'Gen 23:4';'*';''
'Heb 11:14';'Hos 14:2';'';'†'
'Heb 11:17';'Gen 22:1';'*';''
'Heb 11:18';'Gen 22:12';'*';''
'Heb 11:20';'Gen 27:28';'*';''
'Heb 11:21';'Gen 47:31';'';''
'Heb 11:21';'Gen 48:15';'*';''
'Heb 11:22';'Gen 50:24';'*';''
'Heb 11:23';'Exo 2:2';'*';''
'Heb 11:25';'Exo 2:11';'*';''
'Heb 11:27';'Exo 2:15';'*';''
'Heb 11:28';'Exo 12:11,18';'*';''
'Heb 11:29';'Exo 14:22';'*';''
'Heb 11:30';'Jos 6:20';'*';''
'Heb 11:31';'Jos 2:1';'*';''
'Heb 11:31';'Jos 6:17,23';'*';''
'Heb 11:32';'Jdg 6:4,11,15';'*';''
'Heb 11:32';'1Sa 7:1-17';'';'†'
'Heb 11:32';'2Sa 2:1-32';'';'†'
'Heb 11:33';'2Sa 8:1-18';'';'†'
'Heb 11:33';'Jdg 14:1-20';'';'†'
'Heb 11:33';'Dan 6:1-28';'';'†'
'Heb 11:34';'Dan 3:1-30';'';'†'
'Heb 11:35';'2Ki 4:20';'*';''
'Heb 11:35';'1Ki 17:1-24';'*';''
'Heb 11:35';'1Ki 19:1';'*';''
'Heb 12:5-6';'Pro 3:11-12';'';''
'Heb 12:9';'Num 27:16';'';'†'
'Heb 12:12-13';'Isa 35:3';'*';''
'Heb 12:12-13';'Pro 4:26';'*';''
'Heb 12:15';'Deu 29:18';'*';''
'Heb 12:16';'Gen 25:31';'*';''
'Heb 12:18';'Exo 19:16';'*';''
'Heb 12:20';'Exo 19:12-13';'';''
'Heb 12:21';'Deu 9:19';'';''
'Heb 12:26';'Hag 2:6';'';''
'Heb 12:29';'Deu 4:24';'';''
'Heb 13:2';'Gen 18:2';'*';''
'Heb 13:5';'Deu 31:8';'';''
'Heb 13:5';'Jos 1:5';'';''
'Heb 13:6';'Psa 118:6';'';''
'Heb 13:11';'Lev 4:12,21';'*';''
'Heb 13:11';'Lev 16:27';'*';''
'Heb 13:11';'Num 19:3';'*';''
'Heb 13:14';'Mic 2:10';'*';''
'Jas 1:10';'Isa 40:6';'*';''
'Jas 1:10';'Job 14:2';'*';''
'Jas 1:19';'Pro 17:27';'';'†'
'Jas 2:1';'Lev 19:15';'*';''
'Jas 2:1';'Pro 24:23';'*';''
'Jas 2:8';'Lev 19:18';'';''
'Jas 2:11';'Exo 20:13-15';'';''
'Jas 2:21';'Gen 22:9';'*';''
'Jas 2:23';'Gen 15:6';'';''
'Jas 2:25';'Jos 2:1';'*';''
'Jas 2:25';'Jos 6:17,23';'*';''
'Jas 4:6';'Pro 3:34';'';''
'Jas 5:3';'Pro 16:27';'';'†'
'Jas 5:11';'Job 1:21-22';'*';''
'Jas 5:11';'Job 42:1-17';'*';''
'Jas 5:17-18';'1Ki 17:1';'*';''
'Jas 5:17-18';'1Ki 18:41';'*';''
'1Pe 1:16';'Lev 11:44';'';''
'1Pe 1:24-25';'Isa 40:6';'';''
'1Pe 2:3';'Psa 34:8-9';'';'†'
'1Pe 2:4';'Psa 118:22';'*';''
'1Pe 2:6';'Isa 28:16';'';''
'1Pe 2:7';'Psa 118:22-23';'';''
'1Pe 2:9';'Exo 19:6';'';''
'1Pe 2:9';'Deu 10:15';'*';''
'1Pe 2:9';'Hos 1:10';'*';''
'1Pe 2:10';'Hos 2:23';'*';''
'1Pe 2:17';'Pro 24:21';'*';''
'1Pe 2:22';'Isa 53:9';'';''
'1Pe 2:24';'Isa 53:4-5';'';''
'1Pe 3:6';'Gen 18:12';'*';''
'1Pe 3:7';'Pro 17:13';'';'†'
'1Pe 3:10-12';'Psa 34:12-16';'';''
'1Pe 3:14-15';'Isa 8:12-13';'';'†'
'1Pe 3:20';'Gen 6:3,12';'*';''
'1Pe 4:8';'Pro 10:12';'';''
'1Pe 4:18';'Pro 11:31';'*';''
'1Pe 5:5';'Pro 3:34';'*';''
'1Pe 5:7';'Psa 55:23';'*';''
'2Pe 2:5';'Gen 7:23';'*';''
'2Pe 2:5';'Gen 8:1-22';'*';''
'2Pe 2:6';'Gen 19:1-38';'*';''
'2Pe 2:15-16';'Num 22:1-41';'*';''
'2Pe 2:22';'Pro 26:11';'';''
'2Pe 3:4';'Eze 12:22';'';'†'
'2Pe 3:5-6';'Gen 1:1-2,6';'*';''
'2Pe 3:5-6';'Gen 7:21';'*';''
'2Pe 3:8';'Psa 90:4';'*';''
'2Pe 3:10';'Psa 102:26-27';'';'†'
'2Pe 3:13';'Isa 65:17';'*';''
'2Pe 3:13';'Isa 66:22';'*';''
'1Jo 1:8';'Pro 20:9';'*';''
'1Jo 3:5';'Isa 53:4';'';'†'
'1Jo 3:12';'Gen 4:8';'*';''
'1Jo 3:12';'Num 22:41';'';'†'
'1Jo 3:12';'Num 16:1,31';'*';''
'Jde 1:5';'Exo 12:41';'*';''
'Jde 1:5';'Num 14:32';'*';''
'Jde 1:7';'Gen 19:1-38';'*';''
'Jde 1:9';'Deu 34:5-6';'*';''
'Jde 1:11';'Gen 4:8';'*';''
'Jde 1:11';'Num 22:1-41';'*';''
'Jde 1:11';'Num 16:1-50';'*';''
'Jde 1:14';'Gen 5:18';'*';''
'Rev 1:6';'Exo 19:6';'';'†'
'Rev 1:7';'Dan 7:13';'';'†'
'Rev 1:7';'Isa 40:5';'';'†'
'Rev 1:7';'Zec 12:10-14';'';'†'
'Rev 1:8';'Isa 41:4';'';'†'
'Rev 1:8';'Isa 44:6';'';'†'
'Rev 1:12';'Zec 4:2';'';'†'
'Rev 1:14-15';'Dan 7:9';'';'†'
'Rev 1:14-15';'Dan 10:5-6';'';'†'
'Rev 1:14-15';'Eze 1:27';'';'†'
'Rev 1:14-15';'Eze 8:2';'';'†'
'Rev 1:14-15';'Eze 43:2';'';'†'
'Rev 1:16';'Isa 49:2';'';'†'
'Rev 1:17';'Dan 8:17';'';'†'
'Rev 1:17';'Dan 10:8';'';'†'
'Rev 1:17';'Isa 44:6';'';'†'
'Rev 2:1';'Deu 23:14';'';'†'
'Rev 2:7';'Gen 2:9';'';'†'
'Rev 2:14';'Num 25:2';'';'†'
'Rev 2:14';'Num 31:16';'';'†'
'Rev 2:20';'1Ki 16:31';'';'†'
'Rev 2:20';'1Ki 21:23';'';'†'
'Rev 2:20';'2Ki 9:33';'';'†'
'Rev 2:23';'Jer 17:10';'';'†'
'Rev 2:27';'Psa 2:9';'';'†'
'Rev 3:7';'Isa 22:22';'';'†'
'Rev 3:7';'Job 12:14';'';'†'
'Rev 3:9';'Isa 60:14';'';'†'
'Rev 3:17';'Hos 12:8';'';'†'
'Rev 3:19';'Pro 3:11-12';'';'†'
'Rev 3:21';'Psa 110:1';'';'†'
'Rev 4:2-3';'Eze 1:26-28';'';'†'
'Rev 4:5';'Exo 19:16';'';'†'
'Rev 4:5';'Eze 1:1-28';'';'†'
'Rev 4:5';'Eze 11:1-25';'';'†'
'Rev 4:5';'Isa 6:1-13';'';'†'
'Rev 4:6';'Eze 1:22';'';'†'
'Rev 4:6';'Exo 24:10';'';'†'
'Rev 4:6';'Eze 1:5';'';'†'
'Rev 4:6';'Eze 10:12';'';'†'
'Rev 4:7';'Eze 1:10';'';'†'
'Rev 4:8';'Isa 6:2';'';'†'
'Rev 5:1';'Eze 2:2';'';'†'
'Rev 5:6';'Isa 53:7';'';'†'
'Rev 5:6';'Zec 4:10';'';'†'
'Rev 5:6';'2Ch 16:9';'';'†'
'Rev 5:8';'Psa 141:2';'';'†'
'Rev 5:10';'Exo 19:6';'';'†'
'Rev 5:11';'Dan 7:10';'';'†'
'Rev 6:8';'Eze 14:21';'';'†'
'Rev 6:12-13';'Isa 24:18,23';'';'†'
'Rev 6:12-13';'Isa 13:13';'';'†'
'Rev 6:12-13';'Hag 2:6';'';'†'
'Rev 6:12-13';'Joe 2:31';'';'†'
'Rev 6:12-13';'Isa 34:4';'*';'†'
'Rev 6:14';'Psa 102:26';'*';'†'
'Rev 6:14';'Isa 34:4';'*';'†'
'Rev 6:15-16';'Isa 2:9';'';'†'
'Rev 6:15-16';'Isa 2:19';'';'†'
'Rev 6:15-16';'Hos 10:8';'*';'†'
'Rev 6:15-16';'Isa 13:13';'*';'†'
'Rev 6:15-16';'Psa 110:5';'*';'†'
'Rev 6:15-16';'Joe 2:11';'*';'†'
'Rev 7:2-3';'Eze 9:2';'';'†'
'Rev 7:16';'Isa 49:10';'';'†'
'Rev 7:17';'Isa 25:8';'';'†'
'Rev 8:3';'Lev 16:12';'*';'†'
'Rev 8:3';'Exo 30:8';'';'†'
'Rev 8:3';'Psa 141:2';'*';'†'
'Rev 8:5';'Eze 10:2';'';'†'
'Rev 8:7';'Joe 2:30';'*';'†'
'Rev 8:7';'Exo 9:23';'*';'†'
'Rev 8:8';'Exo 7:20';'';'†'
'Rev 8:11';'Jer 9:15';'*';'†'
'Rev 8:12';'Eze 32:7';'*';'†'
'Rev 9:4';'Eze 9:6';'*';'†'
'Rev 9:6';'Jer 8:3';'*';'†'
'Rev 9:7-9';'Joe 2:4';'*';'†'
'Rev 9:7-9';'Joe 1:6';'*';'†'
'Rev 9:7-9';'Joe 2:5';'*';'†'
'Rev 9:20';'Psa 115:4';'*';'†'
'Rev 9:20';'Psa 135:15';'*';'†'
'Rev 10:2';'Eze 2:9';'*';'†'
'Rev 10:3';'Jer 25:30';'*';'†'
'Rev 10:4';'Dan 8:26';'*';'†'
'Rev 10:5';'Dan 12:4,7,9';'*';'†'
'Rev 10:8-11';'Eze 2:8';'*';'†'
'Rev 10:11';'Jer 1:9';'';'†'
'Rev 11:1';'Eze 40:3';'';'†'
'Rev 11:1';'Eze 41:13';'';'†'
'Rev 11:1';'Eze 40:47';'';'†'
'Rev 11:2';'Dan 7:25';'';'†'
'Rev 11:4';'Zec 4:3,11';'*';'†'
'Rev 11:5';'2Ki 1:9-12';'';'†'
'Rev 11:6';'1Ki 17:1';'*';'†'
'Rev 11:6';'Exo 7:20';'*';'†'
'Rev 11:7';'Dan 7:21';'*';'†'
'Rev 11:10';'Est 9:22';'*';'†'
'Rev 11:15';'Dan 2:44';'';'†'
'Rev 11:15';'Dan 7:14';'*';'†'
'Rev 11:18';'Psa 2:1-5';'*';'†'
'Rev 11:18';'Psa 46:6';'*';'†'
'Rev 11:18';'Dan 7:10,22';'';'†'
'Rev 11:18';'Psa 115:13';'';'†'
'Rev 11:18';'Dan 11:44';'';'†'
'Rev 12:1-2';'Mic 4:9-10';'';'†'
'Rev 12:1-2';'Isa 66:7';'';'†'
'Rev 12:3';'Dan 7:7';'*';'†'
'Rev 12:4';'Dan 8:10';'';'†'
'Rev 12:5';'Isa 66:7';'*';'†'
'Rev 12:5';'Psa 2:10';'';'†'
'Rev 12:6';'Dan 7:25';'';'†'
'Rev 12:7';'Dan 10:13,21';'';'†'
'Rev 12:7';'Dan 12:1';'';'†'
'Rev 12:14';'Dan 7:25';'';'†'
'Rev 12:14';'Dan 12:7';'';'†'
'Rev 13:1';'Dan 7:3,7';'';'†'
'Rev 13:2';'Dan 7:5-6';'*';'†'
'Rev 13:5-6';'Dan 7:8';'*';'†'
'Rev 13:5-6';'Dan 7:25';'*';'†'
'Rev 13:7';'Dan 8:10,24';'';'†'
'Rev 13:7';'Dan 5:19';'*';'†'
'Rev 13:7';'Dan 2:37';'*';'†'
'Rev 13:10';'Isa 14:2';'*';'†'
'Rev 13:10';'Gen 9:6';'*';'†'
'Rev 13:14';'Dan 3:1-30';'';'†'
'Rev 14:1';'Psa 2:6';'*';'†'
'Rev 14:1';'Isa 59:20';'*';'†'
'Rev 14:5';'Psa 32:2';'*';'†'
'Rev 14:8';'Isa 21:9';'*';'†'
'Rev 14:8';'Jer 51:8';'*';'†'
'Rev 14:8';'Dan 4:27';'';'†'
'Rev 14:10';'Psa 75:9';'';'†'
'Rev 14:10';'Isa 51:22';'*';'†'
'Rev 14:10';'Jer 25:15';'*';'†'
'Rev 14:11';'Isa 34:10';'*';'†'
'Rev 14:14';'Dan 7:13';'*';'†'
'Rev 14:14';'Isa 19:1';'';'†'
'Rev 14:15';'Joe 3:13';'*';'†'
'Rev 14:19-20';'Joe 3:13';'*';'†'
'Rev 14:19-20';'Isa 63:3';'*';'†'
'Rev 14:19-20';'Lam 1:15';'*';'†'
'Rev 15:2';'Eze 1:22';'*';'†'
'Rev 15:3';'Exo 15:11';'*';'†'
'Rev 15:4';'Jer 10:6';'';'†'
'Rev 15:4';'Psa 86:9';'';'†'
'Rev 15:7';'Eze 10:7';'*';'†'
'Rev 15:8';'Eze 10:4';'*';'†'
'Rev 15:8';'Isa 6:4';'*';'†'
'Rev 15:8';'1Ki 8:11';'*';'†'
'Rev 16:2';'Eze 10:2';'';'†'
'Rev 16:2';'Exo 9:10';'';'†'
'Rev 16:3-4';'Exo 7:19-20';'';'†'
'Rev 16:6';'Exo 7:21';'';'†'
'Rev 16:6';'Eze 16:38';'';'†'
'Rev 16:10';'Exo 10:22';'';'†'
'Rev 16:12';'Isa 11:15-16';'';'†'
'Rev 16:12';'Jer 50:38';'';'†'
'Rev 16:14,16';'Zep 3:8';'';'†'
'Rev 16:14,16';'Joe 3:2';'';'†'
'Rev 16:14,16';'Zec 14:2';'';'†'
'Rev 16:21';'Exo 9:24-34';'';'†'
'Rev 17:1';'Jer 51:13';'*';'†'
'Rev 17:2';'Jer 51:7';'*';'†'
'Rev 17:3';'Dan 7:7-8,25';'';'†'
'Rev 17:4';'Jer 51:7';'';'†'
'Rev 17:8';'Dan 7:11';'';'†'
'Rev 17:12';'Dan 7:20,24';'*';'†'
'Rev 17:14';'Dan 8:25';'*';'†'
'Rev 17:15';'Isa 8:7';'*';'†'
'Rev 17:15';'Jer 51:42';'*';'†'
'Rev 18:2';'Isa 21:9';'';'†'
'Rev 18:2';'Jer 51:8';'*';'†'
'Rev 18:2';'Isa 13:21';'*';'†'
'Rev 18:3';'Jer 51:7';'';'†'
'Rev 18:3';'Nah 3:4';'*';'†'
'Rev 18:4';'Isa 52:11';'*';'†'
'Rev 18:4';'Jer 50:8';'*';'†'
'Rev 18:4';'Jer 51:6,9,45';'*';'†'
'Rev 18:6';'Jer 50:15,29';'*';'†'
'Rev 18:6';'Psa 137:8';'*';'†'
'Rev 18:7-8';'Isa 47:7';'*';'†'
'Rev 18:7-8';'Jer 50:31';'*';'†'
'Rev 18:11';'Eze 27:1-36';'*';'†'
'Rev 18:11';'Isa 23:1-18';'*';'†'
'Rev 18:18';'Isa 34:10';'*';'†'
'Rev 18:20';'Isa 44:23';'*';'†'
'Rev 18:20';'Jer 51:48';'*';'†'
'Rev 18:21';'Jer 51:63-64';'*';'†'
'Rev 18:22';'Isa 24:8';'*';'†'
'Rev 18:22';'Jer 7:34';'*';'†'
'Rev 18:22';'Jer 25:10';'*';'†'
'Rev 18:23';'Isa 23:8';'*';'†'
'Rev 18:24';'Jer 51:49';'*';'†'
'Rev 19:2';'Deu 32:4,43';'*';'†'
'Rev 19:3';'Isa 34:10';'*';'†'
'Rev 19:5';'Psa 135:1,20';'*';'†'
'Rev 19:5';'Psa 115:13';'*';'†'
'Rev 19:8';'Psa 45:14';'*';'†'
'Rev 19:8';'Isa 61:10';'*';'†'
'Rev 19:11';'Psa 72:2';'';'†'
'Rev 19:12';'Dan 10:6';'*';'†'
'Rev 19:13';'Isa 63:1';'*';'†'
'Rev 19:15';'Psa 2:9';'*';'†'
'Rev 19:15';'Lam 1:15';'*';'†'
'Rev 19:15';'Isa 63:3';'*';'†'
'Rev 19:17-18';'Isa 34:6';'';'†'
'Rev 19:17-18';'Eze 39:17-20';'*';'†'
'Rev 19:19';'Psa 2:2';'*';'†'
'Rev 19:20';'Isa 30:33';'';'†'
'Rev 19:20';'Dan 7:11,26';'';'†'
'Rev 20:4';'Dan 9:22,27';'';'†'
'Rev 21:1';'Isa 65:17';'*';'†'
'Rev 21:2';'Eze 40:1-49;48:1-35';'';'†'
'Rev 21:3';'Eze 37:27';'*';'†'
'Rev 21:4';'Isa 25:8';'*';'†'
'Rev 21:4';'Isa 65:19';'*';'†'
'Rev 21:5';'Isa 43:19';'*';'†'
'Rev 21:6';'Isa 55:1';'*';'†'
'Rev 21:10';'Eze 40:2';'*';'†'
'Rev 21:12';'Eze 48:31';'*';'†'
'Rev 21:15';'Zec 2:1';'*';'†'
'Rev 21:15';'Eze 40:3';'*';'†'
'Rev 21:19';'Isa 54:11-12';'*';'†'
'Rev 21:23';'Isa 60:19';'*';'†'
'Rev 21:23';'Eze 48:35';'';'†'
'Rev 21:24-25';'Isa 60:3,11,20';'*';'†'
'Rev 21:27';'Isa 52:1';'*';'†'
'Rev 21:27';'Eze 44:9';'*';'†'
'Rev 22:1-2';'Zec 14:8';'*';'†'
'Rev 22:1-2';'Eze 47:1,7,12';'*';'†'
'Rev 22:3';'Zec 14:11';'';'†'
'Rev 22:5';'Isa 24:23';'*';'†'
'Rev 22:5';'Isa 60:19';'*';'†'
'Rev 22:5';'Eze 48:35';'*';'†'
'Rev 22:10';'Dan 8:26';'';'†'
'Rev 22:10';'Dan 12:4';'';'†'
'Rev 22:12';'Isa 40:10';'*';'†'
'Rev 22:13';'Isa 41:4';'*';'†'
'Rev 22:13';'Isa 44:6';'*';'†'
'Rev 22:16';'Isa 11:1,10';'*';'†'
'Rev 22:17';'Isa 55:1';'*';'†'
'Rev 22:18';'Deu 4:2';'*';'†'
'Rev 22:18';'Deu 12:32';'*';'†'
'Rev 22:20';'Hab 2:3';'';'†'
